"","StateFIPS","CountyFIPS","STCOFIPS","State","CountyName","PCTNoHSDiploma","PCTHSDiploma","PCTSomeCollege","PCTCollegeDegree","PovertyRate","AvgHouseholdIncome","TotalPopulation","Males","Females","White","Black","Hispanic","AmericanIndian","Asian","Hawaiian","TwoorMoreRaces","Age0_14","Age15_29","Age30_44","Age45_59","Age60_74","Age75","StarRating","HCAPS","MedicatComm","CleanQuiet","DoctorComm","Rncomm","DischargeInfo","Payments","Readmissions","Mortality"
"1",1,1,1001,"AL","Autauga County",12.3,33.6,29.1,25,13.4,58343,55278,48.76623612,51.23376388,77.19526756,19.24273671,2.711747892,0.470349868,1.190346973,0.092260936,1.809037954,19.49781106,19.46163031,19.58826296,21.21277904,14.16657621,6.07294041,4,26,67.67,73.59,85.55,81.84,90.23,19663.66667,0.9875,12.26666667
"2",1,3,1003,"AL","Baldwin County",9.8,27.8,31.7,30.7,10.1,56607,207509,48.59837405,51.40162595,87.17019503,9.211166745,4.475950441,0.76864136,1.074170277,0.060720258,1.715106333,18.01656796,17.14624426,17.69320849,20.75283482,18.70039372,7.690750763,2.66666667,39,67.23333333,71.98666667,82.85666667,81.47666667,87.64,17162.44444,1.0491,14.48333333
"3",1,5,1005,"AL","Barbour County",26.9,35.5,25.5,12,33.4,32490,25774,52.70815551,47.29184449,49.68572981,48.01738186,4.186389385,0.613020874,0.422906805,0.170714674,1.090245984,17.52541321,19.03080624,19.23255994,19.69038566,17.45169551,7.069139443,4,35,73.1,76.04,87.32,80.5,84.93,13838,0.94005,12.9
"4",1,7,1007,"AL","Bibb County",17.9,43.9,25,13.2,20.2,45795,22633,53.497106,46.502894,76.66239562,21.65422171,2.478681571,0.375557814,0.207661379,0.119294835,0.980868643,16.97521318,19.61295454,20.50987496,21.4244687,15.19904564,6.278442981,3,38.27,67.73945,72.57555,85.9062,81.8013,85.651875,16107.5,1.0006,14.9
"5",1,9,1009,"AL","Blount County",20.2,32.3,34.4,13.1,12.8,48253,57562,49.26340294,50.73659706,96.02168097,1.587853098,9.205726,0.59935374,0.281435669,0.112921719,1.396754804,19.06639797,18.0987457,18.16649873,20.57954901,17.09113651,6.997672075,3,26.3866666666,66.4669166667,69.7517833334,83.3633583333,81.0100333333,87.6958166668001,17569,0.9906445113,13.1
"6",1,11,1011,"AL","Bullock County",28.6,36.6,21.4,13.4,34.4,29113,10441,54.24767743,45.75232257,26.56833637,70.37640073,7.729144718,0.8619864,0.249018293,0.737477253,1.20678096,17.35465952,18.89665741,20.89838138,20.7259841,15.50617757,6.618140025,3,33.33,66.04625,72.01035,86.5843428571,80.39295,82.2849833333,15766.7716668,0.9976458874,16.8
"7",1,13,1013,"AL","Butler County",18.9,40.4,24.5,16.1,21.3,36842,19965,46.47132482,53.52867518,52.85249186,44.61307288,1.347357876,0.3756574,1.096919609,0.050087653,1.011770599,18.76784373,18.07663411,17.45053844,19.39393939,17.69095918,8.620085149,3.5,37,66.68,70.91,86.9517,81.0352,85.53,14454.75,1.0133,13.3
"8",1,15,1015,"AL","Calhoun County",16.8,32.2,33.1,17.9,17.7,45937,114980,48.07705688,51.92294312,75.5226996,20.99930423,3.694555575,0.515741868,0.974082449,0.104365977,1.883805879,17.92224735,20.33223169,18.0040007,20.13828492,16.77770047,6.825534876,2.66666667,11,60.915,70.515,80.632625,77.695645238,83.925,18178.22222,1.02864444,15.01111111
"9",1,19,1019,"AL","Cherokee County",20.5,38.2,28.9,12.5,17.2,44842,25766,49.64294031,50.35705969,93.06450361,4.319646045,1.587363192,0.63649771,0.287200186,0.031048669,1.66110378,15.93572926,16.77404331,15.71062641,21.97469533,21.11697586,8.48792983,4,38,68.55,75.03,90.64,88.74,89.74,15455,0.9646,14.95
"10",1,21,1021,"AL","Chilton County",18.2,43.4,23.3,15.1,16.8,46405,43830,49.09650924,50.90349076,87.20511065,10.33994981,7.725302304,0.52019165,0.460871549,0.175678759,1.298197582,19.92014602,18.53753137,18.7816564,20.48140543,15.99133014,6.287930641,3.1026428571,19.8866666666,65.30198,69.2307022808,82.9756,80.45605,86.1872308975,18227.63125,1.0001358723,14.4316527777
"11",1,23,1023,"AL","Choctaw County",19.9,39.9,28.6,11.6,23.7,36711,13050,47.43295019,52.56704981,57.23371648,41.77011494,0.957854406,0.199233716,0.137931034,0.007662835,0.651340996,16.32950192,16.63601533,15.96168582,21.79310345,19.82375479,9.455938697,3.17,37.455,67.4813,72.5379,87.15995,81.77555,84.363925,16947.0741666,1.0130492868,15.1574166668
"12",1,25,1025,"AL","Clarke County",18.5,44.3,24.2,13,23.3,36719,24350,47.32238193,52.67761807,53.75359343,44.40246407,1.379876797,0.455852156,0.488706366,0.016427105,0.882956879,17.59342916,18.7761807,16.87063655,21.21971253,17.08418891,8.455852156,3,43.5,67.765,70.61,87.99,82.575,86.255,16080.5,1.00935,14.25
"13",1,27,1027,"AL","Clay County",26.7,33.7,29.3,10.3,18.1,39642,13410,48.97837435,51.02162565,82.99776286,14.25055928,3.035048471,0.566741238,0.231170768,0,1.953765846,16.65920955,18.09097688,16.86055183,21.70768084,18.21029083,8.471290082,4,34,75.37,76.47,92.68,83.26,84.4,15786,1.0025,16.05
"14",1,31,1031,"AL","Coffee County",14.6,29.3,33.4,22.7,15.5,51998,51217,49.34299158,50.65700842,75.98063143,17.78901537,6.876622996,1.392115899,1.567838804,0.429544878,2.840853623,19.43690571,18.82187555,19.29827987,20.05193588,15.59052658,6.800476404,2,9,65.82,68.58,83.94,77.02,85.07,15655.5,1.0245,15.35
"15",1,33,1033,"AL","Colbert County",16.1,33.7,31.4,18.8,15.4,46100,54327,48.128923,51.871077,80.80144311,16.08592413,2.462863769,0.640565465,0.541167375,0.055221161,1.87567876,17.41123198,18.16223977,17.35601082,20.97667826,17.79962081,8.294218344,2.5,15.5,63.23,73.16,86.065,79.07,83.3,17828.16667,1.05865,13.96666667
"16",1,35,1035,"AL","Conecuh County",21,48,22.3,8.8,23.7,30796,12515,47.87055533,52.12944467,50.94686376,47.06352377,1.973631642,0.391530164,0.183779465,0.031961646,1.382341191,17.4270875,17.53895326,15.53335997,20.4874151,19.94406712,9.06911706,3,44,72.72,74.9,90.27,81.69,87.15,14500,1.08715,12.5
"17",1,39,1039,"AL","Covington County",18,35.6,31,15.5,17.7,39093,37386,48.2185845,51.7814155,84.6118868,12.76413631,1.636976408,0.652650725,0.465414861,0.008024394,1.49788691,18.22339913,17.21500027,16.78168298,20.58792061,18.14850479,9.043492216,2.5,26.5,62.825,67.45,83.535,74.82,83.76,16368.75,1.03886667,14.94166667
"18",1,41,1041,"AL","Crenshaw County",20.7,37.8,25.2,16.3,19.9,38419,13907,48.73804559,51.26195441,72.560581,23.73624793,1.984612066,0.575249874,1.243977853,0.028762494,1.855180844,19.02638959,17.87588984,17.09211189,20.7809017,17.86150859,7.363198389,4,38.0516666667,66.9740416666,71.82055,86.87855,81.6361,85.2338,14054,0.99345,14.3
"19",1,43,1043,"AL","Cullman County",17.9,35.9,31.3,14.9,13.8,45925,82322,49.39262894,50.60737106,96.17113287,1.2548286,4.334199849,0.62194796,0.591579408,0.075314011,1.285197153,18.62685552,18.40941668,18.10451641,20.32992396,17.13879643,7.390490999,2,11,66.55,72.1,85.15,80.47,86.96,18945.66667,1.0444,15.43333333
"20",1,45,1045,"AL","Dale County",14,32.6,36.6,16.8,17.7,42572,49228,49.3804339,50.6195661,74.61810352,20.38880312,6.230194198,0.85723572,1.283822215,0.176728691,2.675306736,19.2471764,20.26285854,18.89168766,19.46046965,15.42414886,6.713658893,4,47,64.38,74.22,85.12,79.47,88.57,17616,0.99815,13.4
"21",1,47,1047,"AL","Dallas County",18.7,36.6,30.5,14.2,27.9,31329,40081,46.1290886,53.8709114,28.01077817,70.37748559,1.060352786,0.266959407,0.476535017,0.047404007,0.820837803,20.01197575,19.90718794,16.68122053,19.76747087,16.79349318,6.83865173,3,18,56.65,67.75,80.91,71.56,81.82,18193,1.05873333,15.03333333
"22",1,49,1049,"AL","DeKalb County",26.4,34,26.6,13,19.5,39906,71216,49.57172545,50.42827455,92.89064255,1.817007414,14.45321276,2.005167378,0.424062009,0.655751517,2.207369131,20.08256572,18.78510447,18.4382723,20.05588632,16.12418558,6.513985621,3,12,68.67,68.87,82.89,80.79,86.93,19170,1.00823333,17.23333333
"23",1,51,1051,"AL","Elmore County",13.6,34.1,29.5,22.8,12,59652,81240,48.51797144,51.48202856,75.85918267,21.21368784,2.833579517,0.47267356,0.699162974,0.121861152,1.633431807,18.31979321,20.15017233,20.08000985,20.95273264,15.03077302,5.466518956,4,42,73.95,73.975,90.96,85.99,87.65,14864.5,0.977875,12
"24",1,53,1053,"AL","Escambia County",19,43.8,25,12.1,23.3,37870,37476,51.46493756,48.53506244,61.79688334,32.22328957,2.204077276,3.661009713,0.274842566,0.058704237,1.985270573,18.43579891,18.79336108,19.52983243,20.11420643,15.96221582,7.164585335,3,32.5,67.295,71.5,88.255,83.09,86.88,17165.41667,0.943425,14.275
"25",1,55,1055,"AL","Etowah County",16.9,32.5,33.7,16.9,18.1,41791,102726,48.34803263,51.65196737,81.00675584,15.61240582,3.772170629,0.603547301,0.805054222,0.306640967,1.665595857,17.71411327,18.70315207,17.94969141,20.71335397,17.57296108,7.34672819,2.5,5,59.865,65.97,78.935,73.57,84.275,20143.16667,1.08341667,12.98333333
"26",1,57,1057,"AL","Fayette County",20.4,37.9,27.1,14.6,19.4,39394,16538,49.40137864,50.59862136,86.20752207,11.82126013,1.668883783,0.453501028,0.266053936,0.00604668,1.245616157,17.31164591,17.64421333,16.56185754,20.88523401,18.90192284,8.695126376,4,69,84.09,85.63,93.59,92.3,87.12,14937,1.00955,13.6
"27",1,59,1059,"AL","Franklin County",23.6,37.5,25.5,13.4,20.5,41025,31577,50.10925674,49.89074326,91.63315071,4.544446908,16.75586661,1.494758843,0.43702695,0.27551699,1.615099598,20.38825728,19.00750546,18.87449726,19.53637141,15.2167717,6.97659689,4,30,65.24,72.57,83.9783,80.7680333334,86.44,17027.25,1.00055,13.825
"28",1,61,1061,"AL","Geneva County",21,35.7,32.2,11.1,21.7,38561,26516,48.91763464,51.08236536,87.24920803,9.548951576,3.888218434,0.980540051,0.343189018,0.079197466,1.798913863,18.22295972,17.03876905,16.91431588,21.05898326,18.5963192,8.168652889,3,31,68.98,73.83,89.34,79.37,90.02,14626.5,0.97555,13.4
"29",1,63,1063,"AL","Greene County",23.4,37,28.2,11.4,33.2,28108,8488,47.30207352,52.69792648,17.87229029,80.80819981,1.284165881,0.294533459,0.270970782,0,0.754005655,18.56738926,18.55560792,14.85626767,19.39208294,19.89868049,8.729971725,3,30.545,66.16535,72.7022,85.70895,80.5023166667,83.050125,16766.9658333,1.031,15.2235833333
"30",1,65,1065,"AL","Hale County",18.9,42.7,23.9,14.4,25.1,34905,14847,47.28901462,52.71098538,40.5334411,58.28113424,1.38075032,0.202061022,0.282885431,0.013470735,0.687007476,19.08803125,19.24968007,16.48817943,19.8019802,17.66686873,7.705260322,3,32.825,66.812,72.3046,87.4961,81.04725,83.20945,16022.5,0.9716,13.4
"31",1,69,1069,"AL","Houston County",14.7,31.9,32.5,20.9,16.6,44753,104173,47.98652242,52.01347758,69.5986484,26.91100381,3.262841619,0.512608833,0.961861519,0.076795331,1.939082104,19.13739645,18.72078178,18.81101629,20.10021791,16.21917387,7.011413706,3.5,17,63.67,68.385,82.205,77.855,86.125,18883,0.97898333,14.71666667
"32",1,71,1071,"AL","Jackson County",18.6,40.7,27.3,13.4,16.6,42658,52049,49.23245403,50.76754597,91.66746719,3.433303233,2.891506081,1.606178793,0.564852351,0.101827124,2.626371304,17.14922477,17.59303733,17.65067533,21.19541202,18.74579723,7.665853331,3,22,64.02,73.78,84.4,80.42,85.02,14682,0.9649,13.5
"33",1,73,1073,"AL","Jefferson County",10.6,26.8,30.7,31.9,16.7,50731,659747,47.37467544,52.62532456,53.47701467,43.32145504,3.775538199,0.295113127,1.658969272,0.051534907,1.195912979,19.18068593,20.2820172,19.554314,19.62782703,15.05910599,6.296049849,2.71428571,19.28571429,64.10142857,66.81857143,81.4351483334,79.0153164286,85.34714286,19208.09524,0.99637619,13.7
"34",1,77,1077,"AL","Lauderdale County",14.1,35.3,28.1,22.5,13.7,46646,92319,47.82005871,52.17994129,86.94959867,10.17017082,2.531439899,0.432197056,0.778821261,0.062825637,1.606386551,16.32058406,21.40837747,16.42132172,19.87348217,17.78182173,8.194412851,2,6,64.81,65.55,83.9,82.94,83.46,19235.66667,0.99023333,15.1
"35",1,79,1079,"AL","Lawrence County",22,40.8,27,10.2,16.8,42912,33232,48.79935002,51.20064998,78.42741935,10.9201974,2.109412614,5.852792489,0.222676938,0.021064035,4.555849783,17.87132884,18.23844487,16.98964853,22.54754454,17.5102311,6.842802118,4,29,66.72,67.59,92.33,77.3,90.43,16324.5,0.9707,13.15
"36",1,81,1081,"AL","Lee County",10.1,24.5,30.6,34.9,17.8,51372,158983,49.29206267,50.70793733,70.70441494,23.37168125,3.747570495,0.352238919,3.82745325,0.09120472,1.653006925,17.77296944,30.44602253,18.51518716,17.3949416,11.74968393,4.121195348,3,25,65.68,71.15,85.42,79.88,87.71,18152,1.01996667,15.76666667
"37",1,83,1083,"AL","Limestone County",16.3,30.7,28.5,24.6,11.9,57342,92920,50.14528627,49.85471373,81.7455876,13.53745157,5.86310805,0.796383986,1.556177357,0.175419716,2.188979768,18.71609987,18.27270771,20.34545846,22.31058975,14.65238915,5.702755058,2,9,72.03,71.11,83.862875,81.9414333333,90.2,15272.5,1.0377,13.95
"38",1,89,1089,"AL","Madison County",9.2,21.1,29.2,40.6,12.8,62750,356312,48.83332585,51.16667415,69.10516626,24.77940681,4.816565257,0.813612789,2.65525719,0.116190305,2.530366645,18.15824334,20.7337951,18.76108579,22.12611419,14.15641348,6.064348099,2,10.5,64.705,68.11,82.285,77.775,86.765,18033.5,1.02328333,14.23333333
"39",1,91,1091,"AL","Marengo County",16.8,39.6,28.1,15.4,22.8,37469,19505,47.3160728,52.6839272,46.61881569,51.709818,2.399384773,0.246090746,0.312740323,0.174314278,0.938220969,18.6465009,18.76441938,16.39579595,20.26147142,17.38528582,8.546526532,2,9,62.15,73.86,83.59,78.72,80.29,17028,1.01535,12.2
"40",1,93,1093,"AL","Marion County",19.3,35.3,31.9,13.4,19.3,38049,29922,49.4819865,50.5180135,94.15146046,3.823273845,2.53993717,0.407726756,0.334202259,0.063498429,1.219838246,17.01423702,17.50217231,16.73350712,21.45578504,18.2541274,9.040171112,4,56,81.5,75.6,87.53,81.785,84.345,15409.5,0.93405,13.275
"41",1,95,1095,"AL","Marshall County",20,31.3,31,17.7,20.1,42751,95043,49.3145208,50.6854792,93.27672738,2.82924571,13.6243595,1.079511379,0.720726408,0.255673748,1.838115379,20.6780089,18.87987542,17.80246836,19.9688562,15.90648443,6.764306682,2,19,69.79,72.86,86.7,82.82,88.6,18004,0.98276667,17.2
"42",1,97,1097,"AL","Mobile County",13.7,32.6,30.6,23,19.7,45615,414852,47.75028203,52.24971797,59.58799765,35.80891499,2.834263786,0.952628889,2.019756443,0.051102562,1.579599472,19.58987784,20.85635359,18.2978508,19.67978942,15.44526723,6.130861126,2,24.5,65.91,67.8275,82.7357666668,80.0003249999,86.0475,18663.20833,1.0476875,14.8
"43",1,99,1099,"AL","Monroe County",17,46.7,23.8,12.5,23.8,36432,21572,47.75635083,52.24364917,55.47932505,41.09957352,1.344335249,1.26552939,0.440385685,0.03708511,1.678101242,18.08362692,18.61672538,16.42870388,20.68885592,18.16243278,8.019655108,3,51,77.66,75.46,89.39,87.33,89.5,16091,0.98135,15.6
"44",1,101,1101,"AL","Montgomery County",14.3,25.6,27.8,32.3,21.3,45833,226716,47.29308915,52.70691085,37.19234637,58.02501808,3.399407188,0.344042767,2.947740786,0.101448508,1.389403483,19.76878562,21.83657086,19.33740892,18.88883008,14.30732723,5.861077295,3,11.33333333,65.49333333,66.43333333,83.64666667,79.18,85.96,19877.11111,1.03897778,14.13333333
"45",1,103,1103,"AL","Morgan County",17.5,29.9,31.8,20.9,14.8,49274,118819,49.18910275,50.81089725,83.25772814,12.74543634,8.130012877,1.091576263,0.706957641,0.146441226,2.051860393,18.85304539,18.31188615,18.43560373,21.34086299,16.15145726,6.90714448,2,9,61.96,69,83.99,78.28,87.13,18105.66667,0.98293333,13.93333333
"46",1,107,1107,"AL","Pickens County",20.2,37.8,30.3,11.8,22.3,38379,20315,49.79079498,50.20920502,57.56337682,40.6300763,4.558208221,0.236278612,0.310115678,0.329805562,0.930347034,16.31799163,19.30100911,18.03101157,21.72286488,16.80531627,7.821806547,3,35.01,67.95025,72.35045,86.74845,81.8670666667,85.0203895833,14777.5,0.96145,13.65
"47",1,109,1109,"AL","Pike County",18.9,33,23.3,24.7,27.7,40680,33215,48.05660093,51.94339907,57.63962065,37.63058859,2.158663255,0.698479603,2.056299865,0.093331326,1.881679964,15.87234683,33.07240705,15.11666416,16.03793467,13.86722866,6.033418636,2,25,68.53,69.29,86.19,79.55,86.15,15365,0.9877,16.9
"48",1,111,1111,"AL","Randolph County",21.4,36.7,27.3,14.6,17,41112,22498,48.43986132,51.56013868,77.88247844,19.67730465,2.955818295,0.408925238,0.422259756,0.075562272,1.533469642,17.47710908,18.28606987,16.11254334,21.00631167,18.64165704,8.476309005,4,36.161,67.69098,72.1927166667,85.90665,82.2401666667,86.499075,17323.5,0.9893,14.6
"49",1,113,1113,"AL","Russell County",17.1,32.4,33.6,16.9,23.2,36186,58177,48.34040944,51.65959056,51.00297368,44.86996579,5.438575382,0.560358905,0.859446173,0.288773914,2.418481531,20.92751431,20.61811369,19.71913299,19.53521151,13.85771009,5.342317411,4,18.8120018796,63.6521253177,67.6546946427,81.2808683334,78.3588161906,85.6712380584,20821,0.9942,13.2
"50",1,115,1115,"AL","St. Clair County",15.8,36.2,32,16,13.5,52755,87482,49.79652957,50.20347043,88.23072175,9.211037699,2.358199401,0.369218811,0.801307698,0.072014814,1.31569923,19.0599209,17.85167234,19.69205094,21.15520907,16.1370339,6.104112846,4,52,68.49,73.43,87.3,81.93,87.83,15522,0.983,12.05
"51",1,117,1117,"AL","Shelby County",7.9,20.9,28.9,42.2,7.4,74098,211073,48.44864099,51.55135901,83.69947838,12.34549184,5.764830177,0.399861659,2.130542514,0.058273678,1.366351926,19.58327214,18.49312797,20.48059202,21.18177124,14.89674189,5.364494748,3,4,64.08,61.74,81.91,77.01,84.94,20267.66667,0.98673333,15.2
